% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	14	3	2	1	0	19	0	0	0
0.021	1	14	3	2	1	0	19	0	0	1
0.022	1	14	3	3	1	0	19	0	0	0
0.022	1	14	3	3	1	0	19	0	0	1
0.023	1	14	3	4	1	0	19	0	0	0
0.023	1	14	3	4	1	0	19	0	0	1
0.024	1	14	3	5	1	0	19	0	0	0
0.024	1	14	3	5	1	0	19	0	0	1
0.025	1	14	3	6	1	0	19	0	0	0
0.025	1	14	3	6	1	0	19	0	0	1
0.026	1	15	3	7	12	0	19	0	0	0
0.026	1	15	3	7	12	0	19	0	0	1
0.027	1	14	3	8	1	28	549	0	0	0
0.027	1	14	3	8	1	28	549	0	0	1
0.028	1	14	3	9	1	28	549	0	0	0
0.028	1	14	3	9	1	28	549	0	0	1
0.029	1	15	3	10	12	0	19	0	0	0
0.029	1	15	3	10	12	0	19	0	0	1
0.03	1	14	4	1	1	28	549	0	0	0
0.03	1	14	4	1	1	28	549	0	0	1
0.031	1	15	4	2	12	28	549	0	0	0
0.031	1	15	4	2	12	28	549	0	0	1
0.032	1	5	4	3	20	0	19	0	0	0
0.032	1	5	4	3	20	0	19	0	0	1
0.033	1	15	4	4	12	28	549	0	0	0
0.033	1	15	4	4	12	28	549	0	0	1
0.034	1	5	4	5	20	0	19	0	0	0
0.034	1	5	4	5	20	0	19	0	0	1
0.035	1	15	4	6	12	28	549	0	0	0
0.035	1	15	4	6	12	28	549	0	0	1
0.036	1	14	4	7	1	28	549	0	0	0
0.036	1	14	4	7	1	28	549	0	0	1
0.037	1	5	4	8	20	28	549	0	0	0
0.037	1	5	4	8	20	28	549	0	0	1
0.038	1	7	4	9	29	0	19	0	0	0
0.038	1	7	4	9	29	0	19	0	0	1
0.039	1	5	4	10	20	28	549	0	0	0
0.039	1	5	4	10	20	28	549	0	0	1
0.04	1	7	5	1	29	0	19	0	0	0
0.04	1	7	5	1	29	0	19	0	0	1
0.041	1	5	5	2	20	28	549	0	0	0
0.041	1	5	5	2	20	28	549	0	0	1
0.042	1	15	5	3	12	28	549	0	0	0
0.042	1	15	5	3	12	28	549	0	0	1
0.043	1	7	5	4	29	28	549	0	0	0
0.043	1	7	5	4	29	28	549	0	0	1
0.044	1	9	5	5	39	0	19	0	0	0
0.044	1	9	5	5	39	0	19	0	0	1
0.045	1	7	5	6	29	28	549	0	0	0
0.045	1	7	5	6	29	28	549	0	0	1
0.046	1	9	5	7	39	0	19	0	0	0
0.046	1	9	5	7	39	0	19	0	0	1
0.047	1	7	5	8	29	28	549	0	0	0
0.047	1	7	5	8	29	28	549	0	0	1
0.048	1	5	5	9	20	28	549	0	0	0
0.048	1	5	5	9	20	28	549	0	0	1
0.049	1	9	5	10	39	28	549	0	0	0
0.049	1	9	5	10	39	28	549	0	0	1
0.05	1	2	6	1	50	0	19	0	0	0
0.05	1	2	6	1	50	0	19	0	0	1
0.051	1	9	6	2	39	28	549	0	0	0
0.051	1	9	6	2	39	28	549	0	0	1
0.052	1	2	6	3	50	0	19	0	0	0
0.052	1	2	6	3	50	0	19	0	0	1
0.053	1	9	6	4	39	28	549	0	0	0
0.053	1	9	6	4	39	28	549	0	0	1
0.054	1	7	6	5	29	28	549	0	0	0
0.054	1	7	6	5	29	28	549	0	0	1
0.055	1	2	6	6	50	28	549	0	0	0
0.055	1	2	6	6	50	28	549	0	0	1
0.056	1	11	6	7	58	0	19	0	0	0
0.056	1	11	6	7	58	0	19	0	0	1
0.057	1	2	6	8	50	28	549	0	0	0
0.057	1	2	6	8	50	28	549	0	0	1
0.058	1	11	6	9	58	0	19	0	0	0
0.058	1	11	6	9	58	0	19	0	0	1
0.059	1	2	6	10	50	28	549	0	0	0
0.059	1	2	6	10	50	28	549	0	0	1
0.06	1	9	7	1	39	28	549	0	0	0
0.06	1	9	7	1	39	28	549	0	0	1
0.061	1	11	7	2	58	28	549	0	0	0
0.061	1	11	7	2	58	28	549	0	0	1
0.062	1	10	7	3	63	0	19	0	0	0
0.062	1	10	7	3	63	0	19	0	0	1
0.063	1	11	7	4	58	28	549	0	0	0
0.063	1	11	7	4	58	28	549	0	0	1
0.064	1	10	7	5	63	0	19	0	0	0
0.064	1	10	7	5	63	0	19	0	0	1
0.065	1	11	7	6	58	28	549	0	0	0
0.065	1	11	7	6	58	28	549	0	0	1
0.066	1	2	7	7	50	28	549	0	0	0
0.066	1	2	7	7	50	28	549	0	0	1
0.067	1	10	7	8	63	28	549	0	0	0
0.067	1	10	7	8	63	28	549	0	0	1
0.068	1	8	7	9	71	0	19	0	0	0
0.068	1	8	7	9	71	0	19	0	0	1
0.069	1	10	7	10	63	28	549	0	0	0
0.069	1	10	7	10	63	28	549	0	0	1
0.07	1	8	8	1	71	0	19	0	0	0
0.07	1	8	8	1	71	0	19	0	0	1
0.071	1	10	8	2	63	28	549	0	0	0
0.071	1	10	8	2	63	28	549	0	0	1
0.072	1	14	8	3	1	28	549	0	0	0
0.072	1	14	8	3	1	28	549	0	0	1
0.073	1	8	8	4	71	28	549	0	0	0
0.073	1	8	8	4	71	28	549	0	0	1
0.074	1	4	8	5	78	0	19	0	0	0
0.074	1	4	8	5	78	0	19	0	0	1
0.075	1	8	8	6	71	28	549	0	0	0
0.075	1	8	8	6	71	28	549	0	0	1
0.076	1	4	8	7	78	0	19	0	0	0
0.076	1	4	8	7	78	0	19	0	0	1
0.077	1	8	8	8	71	28	549	0	0	0
0.077	1	8	8	8	71	28	549	0	0	1
0.078	1	11	8	9	58	28	549	0	0	0
0.078	1	11	8	9	58	28	549	0	0	1
0.079	1	4	8	10	78	28	549	0	0	0
0.079	1	4	8	10	78	28	549	0	0	1
0.08	1	12	9	1	82	0	19	0	0	0
0.08	1	12	9	1	82	0	19	0	0	1
0.081	1	4	9	2	78	28	549	0	0	0
0.081	1	4	9	2	78	28	549	0	0	1
0.082	1	12	9	3	82	0	19	0	0	0
0.082	1	12	9	3	82	0	19	0	0	1
0.083	1	4	9	4	78	28	549	0	0	0
0.083	1	4	9	4	78	28	549	0	0	1
0.084	1	15	9	5	12	28	549	0	0	0
0.084	1	15	9	5	12	28	549	0	0	1
0.085	1	12	9	6	82	28	549	0	0	0
0.085	1	12	9	6	82	28	549	0	0	1
0.086	1	1	9	7	87	0	19	0	0	0
0.086	1	1	9	7	87	0	19	0	0	1
0.087	1	12	9	8	82	28	549	0	0	0
0.087	1	12	9	8	82	28	549	0	0	1
0.088	1	1	9	9	87	0	19	0	0	0
0.088	1	1	9	9	87	0	19	0	0	1
0.089	1	12	9	10	82	28	549	0	0	0
0.089	1	12	9	10	82	28	549	0	0	1
0.09	1	10	10	1	63	28	549	0	0	0
0.09	1	10	10	1	63	28	549	0	0	1
0.091	1	1	10	2	87	28	549	0	0	0
0.091	1	1	10	2	87	28	549	0	0	1
0.092	1	6	10	3	91	0	19	0	0	0
0.092	1	6	10	3	91	0	19	0	0	1
0.093	1	1	10	4	87	28	549	0	0	0
0.093	1	1	10	4	87	28	549	0	0	1
0.094	1	6	10	5	91	0	19	0	0	0
0.094	1	6	10	5	91	0	19	0	0	1
0.095	1	1	10	6	87	28	549	0	0	0
0.095	1	1	10	6	87	28	549	0	0	1
0.096	1	5	10	7	20	28	549	0	0	0
0.096	1	5	10	7	20	28	549	0	0	1
0.097	1	6	10	8	91	28	549	0	0	0
0.097	1	6	10	8	91	28	549	0	0	1
0.098	1	13	10	9	94	0	19	0	0	0
0.098	1	13	10	9	94	0	19	0	0	1
0.099	1	6	10	10	91	28	549	0	0	0
0.099	1	6	10	10	91	28	549	0	0	1
0.1	1	13	11	1	94	0	19	0	0	0
0.1	1	13	11	1	94	0	19	0	0	1
0.101	1	6	11	2	91	28	549	0	0	0
0.101	1	6	11	2	91	28	549	0	0	1
0.102	1	8	11	3	71	28	549	0	0	0
0.102	1	8	11	3	71	28	549	0	0	1
0.103	1	13	11	4	94	28	549	0	0	0
0.103	1	13	11	4	94	28	549	0	0	1
0.104	1	3	11	5	96	0	19	0	0	0
0.104	1	3	11	5	96	0	19	0	0	1
0.105	1	13	11	6	94	28	549	0	0	0
0.105	1	13	11	6	94	28	549	0	0	1
0.106	1	3	11	7	96	0	19	0	0	0
0.106	1	3	11	7	96	0	19	0	0	1
0.107	1	13	11	8	94	28	549	0	0	0
0.107	1	13	11	8	94	28	549	0	0	1
0.108	1	7	11	9	29	28	549	0	0	0
