% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
23	1	14	1	0	0	19	0	1	0
23	2	14	1	0	0	19	0	1	1
24	1	14	1	0	0	19	0	1	0
24	2	14	1	0	0	19	0	1	1
25	1	14	1	0	0	19	0	1	0
25	2	14	1	0	0	19	0	1	1
26	1	14	1	0	0	19	0	1	0
26	2	14	1	0	0	19	0	1	1
27	1	14	1	0	0	19	0	1	0
27	2	14	1	0	0	19	0	1	1
28	1	15	12	0	0	19	0	1	0
28	2	15	12	0	0	19	0	1	1
29	1	14	1	0	28	549	0	1	0
29	2	14	1	0	28	549	0	1	1
30	1	14	1	0	28	549	0	1	0
30	2	14	1	0	28	549	0	1	1
31	1	15	12	0	0	19	0	1	0
31	2	15	12	0	0	19	0	1	1
32	1	14	1	0	28	549	0	1	0
32	2	14	1	0	28	549	0	1	1
33	1	15	12	0	28	549	0	1	0
33	2	15	12	0	28	549	0	1	1
34	1	5	20	0	0	19	0	1	0
34	2	5	20	0	0	19	0	1	1
35	1	15	12	0	28	549	0	1	0
35	2	15	12	0	28	549	0	1	1
36	1	5	20	0	0	19	0	1	0
36	2	5	20	0	0	19	0	1	1
37	1	15	12	0	28	549	0	1	0
37	2	15	12	0	28	549	0	1	1
38	1	14	1	0	28	549	0	1	0
38	2	14	1	0	28	549	0	1	1
39	1	5	20	0	28	549	0	1	0
39	2	5	20	0	28	549	0	1	1
40	1	7	29	0	0	19	0	1	0
40	2	7	29	0	0	19	0	1	1
41	1	5	20	0	28	549	0	1	0
41	2	5	20	0	28	549	0	1	1
42	1	7	29	0	0	19	0	1	0
42	2	7	29	0	0	19	0	1	1
43	1	5	20	0	28	549	0	1	0
43	2	5	20	0	28	549	0	1	1
44	1	15	12	0	28	549	0	1	0
44	2	15	12	0	28	549	0	1	1
45	1	7	29	0	28	549	0	1	0
45	2	7	29	0	28	549	0	1	1
46	1	9	39	0	0	19	0	1	0
46	2	9	39	0	0	19	0	1	1
47	1	7	29	0	28	549	0	1	0
47	2	7	29	0	28	549	0	1	1
48	1	9	39	0	0	19	0	1	0
48	2	9	39	0	0	19	0	1	1
49	1	7	29	0	28	549	0	1	0
49	2	7	29	0	28	549	0	1	1
50	1	5	20	0	28	549	0	1	0
50	2	5	20	0	28	549	0	1	1
51	1	9	39	0	28	549	0	1	0
51	2	9	39	0	28	549	0	1	1
52	1	2	50	0	0	19	0	1	0
52	2	2	50	0	0	19	0	1	1
53	1	9	39	0	28	549	0	1	0
53	2	9	39	0	28	549	0	1	1
54	1	2	50	0	0	19	0	1	0
54	2	2	50	0	0	19	0	1	1
55	1	9	39	0	28	549	0	1	0
55	2	9	39	0	28	549	0	1	1
56	1	7	29	0	28	549	0	1	0
56	2	7	29	0	28	549	0	1	1
57	1	2	50	0	28	549	0	1	0
57	2	2	50	0	28	549	0	1	1
58	1	11	58	0	0	19	0	1	0
58	2	11	58	0	0	19	0	1	1
59	1	2	50	0	28	549	0	1	0
59	2	2	50	0	28	549	0	1	1
60	1	11	58	0	0	19	0	1	0
60	2	11	58	0	0	19	0	1	1
61	1	2	50	0	28	549	0	1	0
61	2	2	50	0	28	549	0	1	1
62	1	9	39	0	28	549	0	1	0
62	2	9	39	0	28	549	0	1	1
63	1	11	58	0	28	549	0	1	0
63	2	11	58	0	28	549	0	1	1
64	1	10	63	0	0	19	0	1	0
64	2	10	63	0	0	19	0	1	1
65	1	11	58	0	28	549	0	1	0
65	2	11	58	0	28	549	0	1	1
66	1	10	63	0	0	19	0	1	0
66	2	10	63	0	0	19	0	1	1
67	1	11	58	0	28	549	0	1	0
67	2	11	58	0	28	549	0	1	1
68	1	2	50	0	28	549	0	1	0
68	2	2	50	0	28	549	0	1	1
69	1	10	63	0	28	549	0	1	0
69	2	10	63	0	28	549	0	1	1
70	1	8	71	0	0	19	0	1	0
70	2	8	71	0	0	19	0	1	1
71	1	10	63	0	28	549	0	1	0
71	2	10	63	0	28	549	0	1	1
72	1	8	71	0	0	19	0	1	0
72	2	8	71	0	0	19	0	1	1
73	1	10	63	0	28	549	0	1	0
73	2	10	63	0	28	549	0	1	1
74	1	14	1	0	28	549	0	1	0
74	2	14	1	0	28	549	0	1	1
75	1	8	71	0	28	549	0	1	0
75	2	8	71	0	28	549	0	1	1
76	1	4	78	0	0	19	0	1	0
76	2	4	78	0	0	19	0	1	1
77	1	8	71	0	28	549	0	1	0
77	2	8	71	0	28	549	0	1	1
78	1	4	78	0	0	19	0	1	0
78	2	4	78	0	0	19	0	1	1
79	1	8	71	0	28	549	0	1	0
79	2	8	71	0	28	549	0	1	1
80	1	11	58	0	28	549	0	1	0
80	2	11	58	0	28	549	0	1	1
81	1	4	78	0	28	549	0	1	0
81	2	4	78	0	28	549	0	1	1
82	1	12	82	0	0	19	0	1	0
82	2	12	82	0	0	19	0	1	1
83	1	4	78	0	28	549	0	1	0
83	2	4	78	0	28	549	0	1	1
84	1	12	82	0	0	19	0	1	0
84	2	12	82	0	0	19	0	1	1
85	1	4	78	0	28	549	0	1	0
85	2	4	78	0	28	549	0	1	1
86	1	15	12	0	28	549	0	1	0
86	2	15	12	0	28	549	0	1	1
87	1	12	82	0	28	549	0	1	0
87	2	12	82	0	28	549	0	1	1
88	1	1	87	0	0	19	0	1	0
88	2	1	87	0	0	19	0	1	1
89	1	12	82	0	28	549	0	1	0
89	2	12	82	0	28	549	0	1	1
90	1	1	87	0	0	19	0	1	0
90	2	1	87	0	0	19	0	1	1
