% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	14	3	7	1	0	19	0
0.026	1	14	3	7	1	0	19	1
0.027	1	14	3	8	1	0	19	0
0.027	1	14	3	8	1	0	19	1
0.028	1	14	3	9	1	0	19	0
0.028	1	14	3	9	1	0	19	1
0.029	1	14	3	10	1	0	19	1
0.03	1	14	4	1	1	0	19	0
0.03	1	14	4	1	1	0	19	1
0.031	1	14	4	2	1	0	7	0
0.031	1	15	4	2	12	0	7	0
0.031	1	14	4	2	1	0	7	1
0.031	1	15	4	2	12	0	7	1
0.032	1	14	4	3	1	0	7	0
0.032	1	15	4	3	12	0	7	0
0.032	1	14	4	3	1	0	7	1
0.032	1	15	4	3	12	0	7	1
0.033	1	14	4	4	1	20	161	0
0.033	1	15	4	4	12	0	7	0
0.033	1	14	4	4	1	0	7	1
0.033	1	15	4	4	12	0	7	1
0.034	1	14	4	5	1	20	161	0
0.034	1	15	4	5	12	0	7	0
0.034	1	14	4	5	1	0	7	1
0.034	1	15	4	5	12	0	7	1
0.035	1	14	4	6	1	0	7	1
0.035	1	15	4	6	12	0	7	1
0.036	1	14	4	7	1	20	161	0
0.036	1	15	4	7	12	0	7	0
0.036	1	14	4	7	1	0	7	1
0.036	1	15	4	7	12	0	7	1
0.037	1	14	4	8	1	20	161	0
0.037	1	15	4	8	12	0	7	0
0.037	1	14	4	8	1	0	7	1
0.037	1	15	4	8	12	0	7	1
0.038	1	5	4	9	20	0	7	0
0.038	1	14	4	9	1	20	161	0
0.038	1	5	4	9	20	0	7	1
0.038	1	14	4	9	1	0	7	1
0.039	1	15	4	10	12	0	7	0
0.039	1	5	4	10	20	0	7	0
0.039	1	15	4	10	12	0	7	1
0.039	1	5	4	10	20	0	7	1
0.04	1	14	5	1	1	20	161	0
0.04	1	14	5	1	1	0	7	1
0.04	1	15	5	1	12	0	7	1
0.041	1	5	5	2	20	0	7	1
0.041	1	14	5	2	1	20	161	1
0.042	1	5	5	3	20	0	7	0
0.042	1	14	5	3	1	20	161	0
0.042	1	15	5	3	12	0	7	1
0.042	1	5	5	3	20	0	7	1
0.043	1	5	5	4	20	0	7	0
0.043	1	14	5	4	1	20	161	1
0.043	1	15	5	4	12	0	7	1
0.044	1	7	5	5	29	0	7	0
0.044	1	14	5	5	1	20	161	0
0.044	1	5	5	5	20	0	7	1
0.044	1	7	5	5	29	0	7	1
0.045	1	14	5	6	1	20	161	1
0.045	1	15	5	6	12	0	7	1
0.046	1	7	5	7	29	0	7	0
0.046	1	14	5	7	1	20	161	0
0.046	1	5	5	7	20	0	7	1
0.046	1	7	5	7	29	0	7	1
0.047	1	14	5	8	1	20	161	1
0.047	1	15	5	8	12	0	7	1
0.048	1	5	5	9	20	0	7	1
0.048	1	7	5	9	29	0	7	1
0.049	1	7	5	10	29	0	7	0
0.049	1	9	5	10	39	0	7	0
0.049	1	14	5	10	1	20	161	1
0.049	1	15	5	10	12	0	7	1
0.05	1	14	6	1	1	20	161	0
0.05	1	5	6	1	20	0	7	1
0.05	1	7	6	1	29	0	7	1
0.051	1	9	6	2	39	0	7	1
0.051	1	14	6	2	1	20	161	1
0.052	1	9	6	3	39	0	7	0
0.052	1	14	6	3	1	20	161	0
0.052	1	15	6	3	12	20	161	1
0.052	1	5	6	3	20	0	7	1
0.053	1	7	6	4	29	0	7	1
0.053	1	9	6	4	39	0	7	1
0.054	1	15	6	5	12	20	161	0
0.054	1	14	6	5	1	20	161	1
