% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	14	1	62.3709	0
0.041	2	14	1	62.2741	1
0.051	1	2	50	62.3709	0
0.051	2	2	50	62.2741	1
0.052	1	15	12	62.3709	0
0.052	2	15	12	62.2741	1
0.06	1	5	20	62.3709	0
0.06	2	5	20	62.2741	1
0.061	1	11	58	62.3709	0
0.061	2	11	58	62.2741	1
0.069	1	7	29	62.3709	0
0.069	2	7	29	62.2741	1
0.079	1	9	39	62.3709	0
0.079	2	9	39	62.2741	1
0.08	1	10	63	62.3709	0
0.08	2	10	63	62.2741	1
0.081	1	14	1	62.3709	0
0.081	2	14	1	62.2741	1
0.082	1	12	82	62.3709	0
0.082	2	12	82	62.2741	1
0.087	1	1	87	62.3709	0
0.087	2	1	87	62.2741	1
0.089	1	8	71	62.3709	0
0.089	2	8	71	62.2741	1
0.091	1	2	50	62.3709	0
0.091	2	2	50	62.2741	1
0.092	1	15	12	62.3709	0
0.092	2	15	12	62.2741	1
0.094	1	6	91	62.3709	0
0.094	2	6	91	62.2741	1
0.098	1	4	78	62.3709	0
0.098	2	4	78	62.2741	1
0.1	1	5	20	62.3709	0
0.1	2	5	20	62.2741	1
0.101	1	11	58	62.3709	0
0.101	2	11	58	62.2741	1
0.109	1	7	29	62.3709	0
0.109	2	7	29	62.2741	1
0.119	1	9	39	62.3709	0
0.119	2	9	39	62.2741	1
0.12	1	10	63	62.3709	0
0.12	2	10	63	62.2741	1
0.121	1	14	1	62.3709	0
0.121	2	14	1	62.2741	1
0.122	1	12	82	62.3709	0
0.122	2	12	82	62.2741	1
0.123	1	13	94	62.3709	0
0.123	2	13	94	62.2741	1
0.125	1	3	96	62.3709	0
0.125	2	3	96	62.2741	1
0.127	1	1	87	62.3709	0
0.127	2	1	87	62.2741	1
0.129	1	8	71	62.3709	0
0.129	2	8	71	62.2741	1
0.131	1	2	50	62.3709	0
0.131	2	2	50	62.2741	1
0.132	1	15	12	62.3709	0
0.132	2	15	12	62.2741	1
0.134	1	6	91	62.3709	0
0.134	2	6	91	62.2741	1
0.138	1	4	78	62.3709	0
0.138	2	4	78	62.2741	1
0.14	1	5	20	62.3709	0
0.14	2	5	20	62.2741	1
0.141	1	11	58	62.3709	0
0.141	2	11	58	62.2741	1
0.149	1	7	29	62.3709	0
0.149	2	7	29	62.2741	1
0.159	1	9	39	62.3709	0
0.159	2	9	39	62.2741	1
0.16	1	10	63	62.3709	0
0.16	2	10	63	62.2741	1
0.161	1	14	1	62.3709	0
0.161	2	14	1	62.2741	1
0.162	1	12	82	62.3709	0
0.162	2	12	82	62.2741	1
0.163	1	13	94	62.3709	0
0.163	2	13	94	62.2741	1
0.165	1	3	96	62.3709	0
0.165	2	3	96	62.2741	1
0.167	1	1	87	62.3709	0
0.167	2	1	87	62.2741	1
0.169	1	8	71	62.3709	0
0.169	2	8	71	62.2741	1
0.171	1	2	50	62.3709	0
0.171	2	2	50	62.2741	1
0.172	1	15	12	62.3709	0
0.172	2	15	12	62.2741	1
0.174	1	6	91	62.3709	0
0.174	2	6	91	62.2741	1
0.178	1	4	78	62.3709	0
0.178	2	4	78	62.2741	1
0.18	1	5	20	62.3709	0
0.18	2	5	20	62.2741	1
0.181	1	11	58	62.3709	0
0.181	2	11	58	62.2741	1
0.189	1	7	29	62.3709	0
0.189	2	7	29	62.2741	1
0.199	1	9	39	62.3709	0
0.199	2	9	39	62.2741	1
0.2	1	10	63	62.3709	0
0.2	2	10	63	62.2741	1
0.201	1	14	1	62.3709	0
0.201	2	14	1	62.2741	1
0.202	1	12	82	62.3709	0
0.202	2	12	82	62.2741	1
0.203	1	13	94	62.3709	0
0.203	2	13	94	62.2741	1
0.205	1	3	96	62.3709	0
0.205	2	3	96	62.2741	1
0.207	1	1	87	62.3709	0
0.207	2	1	87	62.2741	1
0.209	1	8	71	62.3709	0
0.209	2	8	71	62.2741	1
0.211	1	2	50	62.3709	0
0.211	2	2	50	62.2741	1
0.212	1	15	12	62.3709	0
0.212	2	15	12	62.2741	1
0.214	1	6	91	62.3709	0
0.214	2	6	91	62.2741	1
0.218	1	4	78	62.3709	0
0.218	2	4	78	62.2741	1
0.22	1	5	20	62.3709	0
0.22	2	5	20	62.2741	1
0.221	1	11	58	62.3709	0
0.221	2	11	58	62.2741	1
0.229	1	7	29	62.3709	0
0.229	2	7	29	62.2741	1
0.239	1	9	39	62.3709	0
0.239	2	9	39	62.2741	1
0.24	1	10	63	62.3709	0
0.24	2	10	63	62.2741	1
0.241	1	14	1	62.3709	0
0.241	2	14	1	62.2741	1
0.242	1	12	82	62.3709	0
0.242	2	12	82	62.2741	1
0.243	1	13	94	62.3709	0
0.243	2	13	94	62.2741	1
0.245	1	3	96	62.3709	0
0.245	2	3	96	62.2741	1
0.247	1	1	87	62.3709	0
0.247	2	1	87	62.2741	1
0.249	1	8	71	62.3709	0
0.249	2	8	71	62.2741	1
0.251	1	2	50	62.3709	0
0.251	2	2	50	62.2741	1
0.252	1	15	12	62.3709	0
0.252	2	15	12	62.2741	1
0.254	1	6	91	62.3709	0
0.254	2	6	91	62.2741	1
0.258	1	4	78	62.3709	0
0.258	2	4	78	62.2741	1
0.26	1	5	20	62.3709	0
0.26	2	5	20	62.2741	1
0.261	1	11	58	62.3709	0
0.261	2	11	58	62.2741	1
0.269	1	7	29	62.3709	0
0.269	2	7	29	62.2741	1
0.279	1	9	39	62.3709	0
0.279	2	9	39	62.2741	1
0.28	1	10	63	62.3709	0
0.28	2	10	63	62.2741	1
0.281	1	14	1	62.3709	0
0.281	2	14	1	62.2741	1
0.282	1	12	82	62.3709	0
0.282	2	12	82	62.2741	1
0.283	1	13	94	62.3709	0
0.283	2	13	94	62.2741	1
0.285	1	3	96	62.3709	0
0.285	2	3	96	62.2741	1
0.287	1	1	87	62.3709	0
0.287	2	1	87	62.2741	1
0.289	1	8	71	62.3709	0
0.289	2	8	71	62.2741	1
0.291	1	2	50	62.3709	0
0.291	2	2	50	62.2741	1
0.292	1	15	12	62.3709	0
0.292	2	15	12	62.2741	1
0.294	1	6	91	62.3709	0
0.294	2	6	91	62.2741	1
0.298	1	4	78	62.3709	0
0.298	2	4	78	62.2741	1
0.3	1	5	20	62.3709	0
0.3	2	5	20	62.2741	1
0.301	1	11	58	62.3709	0
0.301	2	11	58	62.2741	1
0.309	1	7	29	62.3709	0
0.309	2	7	29	62.2741	1
0.319	1	9	39	62.3709	0
0.319	2	9	39	62.2741	1
0.32	1	10	63	62.3709	0
0.32	2	10	63	62.2741	1
0.321	1	14	1	62.3709	0
0.321	2	14	1	62.2741	1
0.322	1	12	82	62.3709	0
0.322	2	12	82	62.2741	1
0.323	1	13	94	62.3709	0
0.323	2	13	94	62.2741	1
0.325	1	3	96	62.3709	0
0.325	2	3	96	62.2741	1
