% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	14	1	0	0	19	0	1	0
32	2	14	1	0	0	19	0	1	1
33	1	14	1	0	0	19	0	1	0
33	2	14	1	0	0	19	0	1	1
34	1	14	1	0	0	19	0	1	0
34	2	14	1	0	0	19	0	1	1
35	2	14	1	0	0	19	0	1	1
36	1	14	1	0	0	19	0	1	0
36	2	14	1	0	0	19	0	1	1
37	1	15	12	0	0	7	0	1	0
37	1	14	1	0	0	7	0	1	0
37	2	14	1	0	0	7	0	1	1
37	2	15	12	0	0	7	0	1	1
38	1	15	12	0	0	7	0	1	0
38	1	14	1	0	0	7	0	1	0
38	2	14	1	0	0	7	0	1	1
38	2	15	12	0	0	7	0	1	1
39	1	15	12	0	0	7	0	1	0
39	1	14	1	0	20	161	0	1	0
39	2	14	1	0	0	7	0	1	1
39	2	15	12	0	0	7	0	1	1
40	1	15	12	0	0	7	0	1	0
40	1	14	1	0	20	161	0	1	0
40	2	14	1	0	0	7	0	1	1
40	2	15	12	0	0	7	0	1	1
41	2	14	1	0	0	7	0	1	1
41	2	15	12	0	0	7	0	1	1
42	1	15	12	0	0	7	0	1	0
42	1	14	1	0	20	161	0	1	0
42	2	14	1	0	0	7	0	1	1
42	2	15	12	0	0	7	0	1	1
43	1	15	12	0	0	7	0	1	0
43	1	14	1	0	20	161	0	1	0
43	2	14	1	0	0	7	0	1	1
43	2	15	12	0	0	7	0	1	1
44	1	5	20	0	0	7	0	1	0
44	1	14	1	0	20	161	0	1	0
44	2	14	1	0	0	7	0	1	1
44	2	5	20	0	0	7	0	1	1
45	1	5	20	0	0	7	0	1	0
45	1	15	12	0	0	7	0	1	0
45	2	15	12	0	0	7	0	1	1
45	2	5	20	0	0	7	0	1	1
46	1	14	1	0	20	161	0	1	0
46	2	14	1	0	0	7	0	1	1
46	2	15	12	0	0	7	0	1	1
47	2	14	1	0	20	161	0	1	1
47	2	5	20	0	0	7	0	1	1
48	1	5	20	0	0	7	0	1	0
48	1	14	1	0	20	161	0	1	0
48	2	15	12	0	0	7	0	1	1
48	2	5	20	0	0	7	0	1	1
49	1	5	20	0	0	7	0	1	0
49	2	14	1	0	20	161	0	1	1
49	2	15	12	0	0	7	0	1	1
50	1	7	29	0	0	7	0	1	0
50	1	14	1	0	20	161	0	1	0
50	2	7	29	0	0	7	0	1	1
50	2	5	20	0	0	7	0	1	1
51	2	14	1	0	20	161	0	1	1
51	2	15	12	0	0	7	0	1	1
52	1	7	29	0	0	7	0	1	0
52	1	14	1	0	20	161	0	1	0
52	2	7	29	0	0	7	0	1	1
52	2	5	20	0	0	7	0	1	1
53	2	14	1	0	20	161	0	1	1
53	2	15	12	0	0	7	0	1	1
54	2	7	29	0	0	7	0	1	1
54	2	5	20	0	0	7	0	1	1
55	1	7	29	0	0	7	0	1	0
55	1	9	39	0	0	7	0	1	0
55	2	14	1	0	20	161	0	1	1
55	2	15	12	0	0	7	0	1	1
56	1	14	1	0	20	161	0	1	0
56	2	7	29	0	0	7	0	1	1
56	2	5	20	0	0	7	0	1	1
57	2	14	1	0	20	161	0	1	1
57	2	9	39	0	0	7	0	1	1
58	1	9	39	0	0	7	0	1	0
58	1	14	1	0	20	161	0	1	0
58	2	15	12	0	20	161	0	1	1
58	2	5	20	0	0	7	0	1	1
59	2	7	29	0	0	7	0	1	1
59	2	9	39	0	0	7	0	1	1
60	1	15	12	0	20	161	0	1	0
60	2	14	1	0	20	161	0	1	1
60	2	15	12	0	20	161	0	1	1
61	1	9	39	0	0	7	0	1	0
61	2	7	29	0	0	7	0	1	1
61	2	5	20	0	0	7	0	1	1
62	1	2	50	0	20	161	0	1	0
62	1	14	1	0	20	161	0	1	0
62	2	9	39	0	0	7	0	1	1
62	2	2	50	0	20	161	0	1	1
63	1	15	12	0	20	161	0	1	0
63	2	14	1	0	20	161	0	1	1
63	2	15	12	0	20	161	0	1	1
64	1	9	39	0	0	7	0	1	0
64	2	7	29	0	0	7	0	1	1
64	2	5	20	0	0	7	0	1	1
65	2	9	39	0	0	7	0	1	1
65	2	2	50	0	20	161	0	1	1
66	1	2	50	0	20	161	0	1	0
66	1	14	1	0	20	161	0	1	0
66	2	14	1	0	20	161	0	1	1
66	2	15	12	0	20	161	0	1	1
67	1	5	20	0	20	161	0	1	0
67	1	15	12	0	20	161	0	1	0
67	2	7	29	0	0	7	0	1	1
67	2	5	20	0	20	161	0	1	1
68	2	9	39	0	0	7	0	1	1
68	2	2	50	0	20	161	0	1	1
69	1	2	50	0	20	161	0	1	0
69	1	11	58	0	20	161	0	1	0
69	2	14	1	0	20	161	0	1	1
69	2	11	58	0	20	161	0	1	1
70	1	15	12	0	20	161	0	1	0
70	1	14	1	0	20	161	0	1	0
70	2	15	12	0	20	161	0	1	1
70	2	5	20	0	20	161	0	1	1
71	2	7	29	0	0	7	0	1	1
71	2	9	39	0	0	7	0	1	1
72	1	5	20	0	20	161	0	1	0
72	2	11	58	0	20	161	0	1	1
72	2	2	50	0	20	161	0	1	1
73	1	2	50	0	20	161	0	1	0
73	2	14	1	0	20	161	0	1	1
73	2	15	12	0	20	161	0	1	1
74	1	10	63	0	0	7	0	1	0
74	1	11	58	0	20	161	0	1	0
74	2	7	29	0	0	7	0	1	1
74	2	5	20	0	20	161	0	1	1
75	1	15	12	0	20	161	0	1	0
75	1	14	1	0	20	161	0	1	0
75	2	9	39	0	0	7	0	1	1
75	2	2	50	0	20	161	0	1	1
76	1	7	29	0	20	161	0	1	0
76	1	5	20	0	20	161	0	1	0
76	2	11	58	0	20	161	0	1	1
76	2	10	63	0	0	7	0	1	1
77	2	14	1	0	20	161	0	1	1
77	2	15	12	0	20	161	0	1	1
78	1	2	50	0	20	161	0	1	0
78	2	7	29	0	20	161	0	1	1
78	2	5	20	0	20	161	0	1	1
79	1	10	63	0	0	7	0	1	0
79	1	11	58	0	20	161	0	1	0
79	2	9	39	0	0	7	0	1	1
79	2	2	50	0	20	161	0	1	1
80	1	8	71	0	0	7	0	1	0
80	1	14	1	0	20	161	0	1	0
80	2	11	58	0	20	161	0	1	1
80	2	10	63	0	0	7	0	1	1
81	1	5	20	0	20	161	0	1	0
81	1	15	12	0	20	161	0	1	0
81	2	14	1	0	20	161	0	1	1
81	2	8	71	0	0	7	0	1	1
82	1	7	29	0	20	161	0	1	0
82	2	15	12	0	20	161	0	1	1
82	2	5	20	0	20	161	0	1	1
83	2	7	29	0	20	161	0	1	1
83	2	9	39	0	0	7	0	1	1
84	1	2	50	0	20	161	0	1	0
84	1	11	58	0	20	161	0	1	0
84	2	11	58	0	20	161	0	1	1
84	2	2	50	0	20	161	0	1	1
85	1	8	71	0	0	7	0	1	0
85	2	10	63	0	0	7	0	1	1
85	2	8	71	0	0	7	0	1	1
86	1	4	78	0	0	7	0	1	0
86	1	14	1	0	20	161	0	1	0
86	2	14	1	0	20	161	0	1	1
86	2	4	78	0	0	7	0	1	1
87	1	5	20	0	20	161	0	1	0
87	1	15	12	0	20	161	0	1	0
87	2	15	12	0	20	161	0	1	1
87	2	5	20	0	20	161	0	1	1
88	1	7	29	0	20	161	0	1	0
88	1	9	39	0	20	161	0	1	0
88	2	7	29	0	20	161	0	1	1
88	2	9	39	0	20	161	0	1	1
89	2	11	58	0	20	161	0	1	1
89	2	2	50	0	20	161	0	1	1
90	1	2	50	0	20	161	0	1	0
90	1	11	58	0	20	161	0	1	0
90	2	10	63	0	20	161	0	1	1
90	2	8	71	0	0	7	0	1	1
91	1	10	63	0	20	161	0	1	0
91	2	12	82	0	20	161	0	1	1
91	2	4	78	0	0	7	0	1	1
92	1	12	82	0	20	161	0	1	0
92	1	4	78	0	0	7	0	1	0
92	2	14	1	0	20	161	0	1	1
92	2	15	12	0	20	161	0	1	1
93	1	15	12	0	20	161	0	1	0
93	1	14	1	0	20	161	0	1	0
93	2	7	29	0	20	161	0	1	1
93	2	5	20	0	20	161	0	1	1
94	1	7	29	0	20	161	0	1	0
94	1	5	20	0	20	161	0	1	0
94	2	9	39	0	20	161	0	1	1
94	2	2	50	0	20	161	0	1	1
95	2	11	58	0	20	161	0	1	1
95	2	10	63	0	20	161	0	1	1
96	1	2	50	0	20	161	0	1	0
96	1	9	39	0	20	161	0	1	0
96	2	4	78	0	0	7	0	1	1
96	2	8	71	0	20	161	0	1	1
97	1	10	63	0	20	161	0	1	0
97	1	11	58	0	20	161	0	1	0
97	2	1	87	0	20	161	0	1	1
97	2	12	82	0	20	161	0	1	1
98	1	8	71	0	20	161	0	1	0
98	2	14	1	0	20	161	0	1	1
98	2	15	12	0	20	161	0	1	1
99	1	1	87	0	20	161	0	1	0
99	1	12	82	0	20	161	0	1	0
99	2	7	29	0	20	161	0	1	1
99	2	5	20	0	20	161	0	1	1
100	1	15	12	0	20	161	0	1	0
100	1	14	1	0	20	161	0	1	0
100	2	9	39	0	20	161	0	1	1
100	2	2	50	0	20	161	0	1	1
101	2	11	58	0	20	161	0	1	1
101	2	10	63	0	20	161	0	1	1
102	1	7	29	0	20	161	0	1	0
102	1	5	20	0	20	161	0	1	0
102	2	4	78	0	0	7	0	1	1
102	2	8	71	0	20	161	0	1	1
